haskell-free 5.1.7-40
haskell-fsnotify 0.3.0.1-236
haskell-fuzzy 0.1.0.1-11
haskell-generic-deriving 1.14.1-12
haskell-ghc-api-compat 8.6.1-5
haskell-ghc-check 0.5.0.6-13
haskell-ghc-exactprint 0.6.4-51
haskell-ghc-lib-parser 8.10.5.20210606-1
haskell-ghc-lib-parser-ex 9.0.0.4-26
haskell-ghc-paths 0.1.0.12-11
haskell-ghc-trace-events 0.1.2.3-1
haskell-ghcide 1.4.1.0-25
haskell-githash 0.1.6.2-16
haskell-gitrev 1.3.1-27
haskell-glob 0.10.2-4
haskell-hackage-security 0.6.0.1-242
haskell-haddock-library 1.10.0-65
haskell-hashable 1.3.4.0-4
haskell-hashtables 1.2.4.2-6
haskell-heaps 0.4-3
haskell-heapsize 0.3.0.1-79
haskell-hi-file-parser 0.1.2.0-40
haskell-hie-bios 0.7.6-13
haskell-hie-compat 0.2.0.0-2
haskell-hiedb 0.4.1.0-11
haskell-hinotify 0.4.1-85
haskell-hls-call-hierarchy-plugin 1.0.0.0-25
haskell-hls-eval-plugin 1.1.2.0-26
haskell-hls-explicit-imports-plugin 1.0.1.0-25
haskell-hls-floskell-plugin 1.0.0.1-25
haskell-hls-fourmolu-plugin 1.0.0.2-26
haskell-hls-graph 1.4.0.0-58
haskell-hls-haddock-comments-plugin 1.0.0.3-25
haskell-hls-hlint-plugin 1.0.1.1-25
haskell-hls-module-name-plugin 1.0.0.1-25
haskell-hls-ormolu-plugin 1.0.1.0-25
haskell-hls-plugin-api 1.2.0.0-19
haskell-hls-pragmas-plugin 1.0.1.0-25
haskell-hls-retrie-plugin 1.0.1.1-25
haskell-hls-stylish-haskell-plugin 1.0.0.2-26
haskell-hourglass 0.2.12-160
haskell-hpack 0.34.4-88
haskell-hscolour 1.24.4-22
haskell-hslogger 1.3.1.0-138
haskell-hslua 1.3.0.1-74
haskell-hslua-module-path 0.1.0.1-59
haskell-hslua-module-system 0.2.2.1-130
haskell-hslua-module-text 0.3.0.1-118
haskell-hsyaml 0.2.1.0-130
haskell-hsyaml-aeson 0.2.0.1-4
haskell-http 4000.3.16-89
haskell-http-api-data 0.4.3-78
haskell-http-client 0.7.9-13
haskell-http-client-tls 0.3.5.3-461
haskell-http-conduit 2.3.8-98
haskell-http-date 0.0.11-47
haskell-http-download 0.2.0.0-350
haskell-http-types 0.12.3-192
haskell-http2 3.0.2-41
haskell-implicit-hie 0.1.2.6-36
haskell-implicit-hie-cradle 0.3.0.5-46
haskell-indexed-traversable 0.1.1-5
haskell-indexed-traversable-instances 0.1-50
haskell-infer-license 0.2.0-162
haskell-integer-logarithms 1.0.3.1-5
haskell-invariant 0.5.4-99
haskell-iproute 1.7.11-41
haskell-ipynb 0.1.0.1-249
haskell-jira-wiki-markup 1.4.0-27
haskell-js-dgtable 0.5.2-12
haskell-js-flot 0.8.3-23
haskell-js-jquery 3.3.1-714
haskell-juicypixels 3.3.6-4
haskell-kan-extensions 5.2.3-22
haskell-language-server 1.3.0.0-27
haskell-lens 5.0.1-50
haskell-libyaml 0.1.2-173
haskell-lift-type 0.1.0.1-3
haskell-lifted-async 0.10.2.1-27
haskell-lifted-base 0.2.3.12-181
haskell-listlike 4.7.6-11
haskell-lsp 1.2.0.1-13
haskell-lsp-test 0.14.0.1-17
haskell-lsp-types 1.3.0.1-9
haskell-lucid 2.9.12.1-51
haskell-lukko 0.1.1.3-47
haskell-megaparsec 9.2.0-7
haskell-memory 0.16.0-31
haskell-microlens 0.4.12.0-4
haskell-microlens-mtl 0.2.0.1-16
haskell-microlens-th 0.4.3.10-4
haskell-mime-types 0.1.0.9-13
haskell-mintty 0.1.2-17
haskell-mmap 0.5.9-24
haskell-mmorph 1.2.0-3
haskell-monad-control 1.0.3.1-16
haskell-monad-dijkstra 0.1.1.3-161
haskell-monad-logger 0.3.36-132
haskell-monad-loops 0.4.3-24
haskell-monadrandom 0.5.3-33
haskell-mono-traversable 1.0.15.3-9
haskell-monoid-subclasses 1.1.2-4
haskell-mustache 2.3.1-389
haskell-neat-interpolation 0.5.1.2-173
haskell-network 3.1.2.2-22
haskell-network-bsd 2.8.1.0-118
haskell-network-byte-order 0.1.6-92
haskell-network-info 0.2.0.10-18
haskell-network-uri 2.6.4.1-49
haskell-old-locale 1.0.0.7-29
haskell-old-time 1.1.0.3-29
haskell-only 0.1-21
haskell-open-browser 0.2.1.0-27
haskell-opentelemetry 0.7.0-25
haskell-optparse-applicative 0.16.1.0-164
haskell-optparse-generic 1.4.6-7
haskell-optparse-simple 0.1.1.4-48
haskell-ormolu 0.2.0.0-20
haskell-pandoc-types 1.22-113
haskell-pantry 0.5.2.3-60
haskell-parallel 3.2.2.0-16
haskell-parser-combinators 1.3.0-3
haskell-parsers 0.12.10-184
haskell-path 0.9.0-27
haskell-path-io 1.6.3-30
haskell-path-pieces 0.2.1-29
haskell-pem 0.2.4-194
haskell-persistent 2.13.1.2-20
haskell-persistent-sqlite 2.13.0.3-59
haskell-polyparse 1.13-10
haskell-pretty-simple 4.0.0.0-115
haskell-prettyprinter 1.7.1-11
haskell-prettyprinter-ansi-terminal 1.1.3-13
haskell-primes 0.2.1.0-22
haskell-primitive 0.7.2.0-28
haskell-process-extras 0.7.4-213
haskell-profunctors 5.6.2-53
haskell-project-template 0.2.1.0-154
haskell-psqueues 0.2.7.2-137
haskell-quickcheck 2.14.2-234
haskell-random 1.2.1-23
haskell-random-shuffle 0.0.4-94
haskell-refact 0.3.0.2-24
haskell-reflection 2.1.6-110
haskell-regex-applicative 0.3.4-107
haskell-regex-applicative-text 0.1.0.1-127
haskell-regex-base 0.94.0.2-1
haskell-regex-posix 0.96.0.1-2
haskell-regex-tdfa 1.3.1.1-24
haskell-resolv 0.1.2.0-114
haskell-resource-pool 0.2.3.2-210
haskell-resourcet 1.2.4.3-16
haskell-retrie 1.0.0.0-30
haskell-retry 0.9.0.0-25
haskell-rio 0.1.21.0-20
haskell-rio-orphans 0.1.2.0-63
haskell-rio-prettyprint 0.1.1.0-153
haskell-rope-utf16-splay 0.3.2.0-51
haskell-safe 0.3.19-7
haskell-safe-exceptions 0.1.7.2-19
haskell-scientific 0.3.7.0-27
haskell-semigroupoids 5.3.6-8
haskell-sha 1.6.4.4-18
haskell-shake 0.19.5-55
haskell-shelly 1.9.0-110
haskell-silently 1.2.5.1-12
haskell-simple-sendfile 0.2.30-222
haskell-skylighting 0.11-37
haskell-skylighting-core 0.11-39
haskell-socks 0.6.1-140
haskell-some 1.0.3-3
haskell-sorted-list 0.2.1.0-8
haskell-split 0.2.3.4-159
haskell-splitmix 0.1.0.4-6
haskell-sqlite-simple 0.4.18.0-57
haskell-src-exts 1.23.1-114
haskell-statevar 1.2.2-1
haskell-stm-chans 3.0.0.5-1
haskell-storable-record 0.0.6-16
haskell-storable-tuple 0.0.3.3-184
haskell-streaming-commons 0.2.2.1-108
haskell-strict 0.4.0.1-82
haskell-syb 0.7.2.1-87
haskell-system-filepath 0.4.14-160
haskell-tagged 0.8.6.1-4
haskell-tagsoup 0.14.8-140
haskell-tar 0.5.1.1-86
haskell-tar-conduit 0.3.2-242
haskell-temporary 1.3-318
haskell-terminal-size 0.3.2.1-23
haskell-texmath 0.12.3.1-19
haskell-text-conversions 0.3.1-96
haskell-text-icu 0.7.1.0-4
haskell-text-metrics 0.3.1-13
haskell-th-abstraction 0.4.3.0-1
haskell-th-compat 0.1.3-11
haskell-th-expand-syns 0.4.8.0-42
haskell-th-extras 0.0.0.4-62
haskell-th-lift 0.8.2-10
haskell-th-lift-instances 0.1.18-80
haskell-th-reify-many 0.1.10-13
haskell-these 1.1.1.1-109
haskell-time-compat 1.9.6.1-11
haskell-time-manager 0.0.0-194
haskell-tls 1.5.5-56
haskell-tls-session-manager 0.0.4-196
haskell-transformers-base 0.4.6-16
haskell-transformers-compat 0.7.1-1
haskell-type-equality 1-11
haskell-typed-process 0.2.7.0-7
haskell-unicode-collation 0.1.3.1-4
haskell-unicode-data 0.1.0.1-2
haskell-unicode-transforms 0.3.8-18
haskell-uniplate 1.6.13-84
haskell-unix-compat 0.5.3-4
haskell-unix-time 0.4.7-142
haskell-unliftio 0.2.20-13
haskell-unliftio-core 0.2.0.1-8
haskell-unordered-containers 0.2.14.0-27
haskell-utf8-string 1.0.2-64
haskell-utility-ht 0.0.16-40
haskell-uuid 1.3.15-34
haskell-uuid-types 1.0.5-31
haskell-vault 0.3.1.5-47
haskell-vector 0.12.3.1-14
haskell-vector-algorithms 0.8.0.4-79
haskell-void 0.7.3-117
haskell-wai 3.2.3-76
haskell-wai-logger 2.3.6-449
haskell-warp 3.3.18-2
haskell-warp-tls 3.3.2-18
haskell-word8 0.1.3-21
haskell-x509 1.7.5-174
haskell-x509-store 1.6.7-173
haskell-x509-system 1.6.6-241
haskell-x509-validation 1.6.11-173
haskell-xml 1.3.14-29
haskell-xml-conduit 1.9.1.1-53
haskell-xml-types 0.3.8-7
haskell-yaml 0.11.7.0-9
haskell-zip-archive 0.4.1-146
haskell-zlib 0.6.2.3-47
hdf5 1.12.1-1
hdparm 9.62-1
hexyl 0.9.0-1
hicolor-icon-theme 0.17-2
hidapi 0.11.0-1
hlint 3.3.1-38
hoogle 5.0.18.2-21
htop 3.1.2-1
http-parser 2.9.4-1
hunspell 1.7.0-3
hwids 20210613-1
hwloc 2.5.0-1
hyperfine 1.12.0-1
hyphen 2.8.8-3
iana-etc 20211025-1
icu 70.1-1
ijs 0.35-3
imagemagick 7.1.0.16-1
imath 3.1.3-1
imlib2 1.7.4-1
iniparser 4.1-3
inkscape 1.1.1-3
iproute2 5.15.0-1
iptables 1:1.8.7-1
iputils 20210722-1
iso-codes 4.8.0-1
iw 5.16-1
iwd 1.20-1
iwgtk 0.4-1
jack2 1.9.19-2
jansson 2.14-1
jasper 2.0.33-1
jbig2dec 0.19-1
jemalloc 1:5.2.1-5
jq 1.6-4
js78 78.15.0-1
json-c 0.15-2
json-glib 1.6.6-1
jsoncpp 1.9.4-1
kbd 2.4.0-2
keyutils 1.6.3-1
kitty 0.23.1-1
kitty-terminfo 0.23.1-1
kmod 29-1
krb5 1.19.2-2
kvantum-qt5 0.20.2-2
kvantum-theme-arc 20180614-3
kwindowsystem 5.88.0-1
kyotocabinet 1.2.79-1
l-smash 2.14.5-2
lame 3.100-3
lapack 3.10.0-1
lcms2 2.12-1
ldb 2:2.4.1-2
ldns 1.7.1-2
lensfun 0.3.95-4
less 1:590-1
lib2geom 1.1-1
lib32-gcc-libs 11.1.0-1
lib32-glibc 2.33-5
lib32-rust-libs 1:1.57.0-1
libabw 0.1.3-2
libaec 1.0.6-1
libaio 0.3.112-2
libao 1.2.2-5
libappimage 1.0.3-4
libarchive 3.5.2-1
libass 0.15.2-1
libassuan 2.5.5-1
libasyncns 0.8+3+g68cd5af-3
libatasmart 0.19-5
libatomic_ops 7.6.12-1
libavc1394 0.5.4-4
libavif 0.9.3-1
libavtp 0.1.0-2
libblockdev 2.26-1
libbluray 1.3.0-1
libbpf 0.5.0-1
libbs2b 3.1.0-7
libbsd 0.11.3-1
libburn 1.5.4-1
libbytesize 2.6-1
libcaca 0.99.beta20-1
libcacard 2.7.0-2
libcanberra 0.30+2+gc0620e4-5
libcap 2.61-1
libcap-ng 0.8.2-3
libcddb 1.3.2-6
libcdio 2.1.0-2
libcdio-paranoia 10.2+2.0.1-2
libcdr 0.1.7-3
libcloudproviders 0.3.1-2
libcolord 1.4.5-4
libconfig 1.7.3-1
libcroco 0.6.13-2
libcups 1:2.3.3op2-4
libdaemon 0.14-5
libdatrie 0.2.13-1
libdc1394 2.2.6-2
libdca 0.0.7-1
libde265 1.0.8-1
libdispatch 5.4.2-2
libdrm 2.4.109-1
libdv 1.0.0-9
libdvbpsi 1:1.3.3-2
libdvdnav 6.1.1-1
libdvdread 6.1.2-1
libe-book 0.1.3-10
libebml 1.4.2-1
libedit 20210910_3.1-1
libelf 0.186-1
libepoxy 1.5.9-1
libepubgen 0.1.1-2
libetonyek 0.1.10-1
libev 4.33-1
libevdev 1.12.0-1
libevent 2.1.12-1
libexif 0.6.24-1
libexttextcat 3.4.6-1
libfdk-aac 2.0.2-1
libffi 3.4.2-4
libfontenc 1.1.4-3
libfreeaptx 0.1.1-1
libfreehand 0.1.2-3
libgcrypt 1.9.4-1
libgdiplus 5.6.1-3
libgexiv2 0.14.0-1
libgit2 1:1.3.0-1
libglvnd 1.3.4-1
libgme 0.6.3-1
libgooglepinyin 0.1.2-5
libgpg-error 1.43-1
libgsf 1.14.47-1
libgtop 2.40.0+2+g31db82ef-2
libgudev 237-1
libgxps 0.3.2-1
libhandy 1.4.0-1
libharu 2.3.0-5
libheif 1.12.0-2
libibus 1.5.25-3
libical 3.0.11-2
libice 1.0.10-3
libid3tag 0.15.1b-11
libidn 1.38-1
libidn2 2.3.2-1
libiec61883 1.2.0-6
libimobiledevice 1.3.0-3
libinih 53-1
libinput 1.19.2-1
libinstpatch 1.1.6-1
libisoburn 1.5.4-2
libisofs 1.5.4-1
libixion 0.16.1-6
libjpeg-turbo 2.1.2-1
